title,type,source,episodes,status,rating,background,producer,studio,duration_min,aired_from_year,genre
Digimon Adventure tri. 1: Saikai,Movie,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai,Toei Animation,89,2015,Action
Flutter of Birds: Tori-tachi no Habataki,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,SilkyÍs,Arms,30,2002,Hentai
Blue Seed,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Nihon Ad Systems,"Production I.G, Production Reed",23,1994,Action
Fate/stay night: Unlimited Blade Works - Prologue,Special,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,"Episode 0 was previewed at screenings in Osaka, Los Angeles, France, Germany, and Korea on September 28, 2014. Regular broadcasting was on October 5, 2014.",Aniplex,ufotable,51,2014,Action
Xia Lan,TV,Original,156,Finished Airing,PG-13 - Teens 13 or older,The series airs on China Central Television.,,Beijing Rocen Digital,25,2012,Action
Hidamari Sketch x ___,TV,4-koma manga,12,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Shaft,24,2010,Slice of Life
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",Movie,Manga,1,Finished Airing,None,,Warner Bros.,Nippon Animation,97,2017,Comedy
Seraphim Call,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,d-rights,Sunrise,23,1999,Romance
Issho ni Training: Training with Hinako,OVA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Primastea,Studio Hibari,24,2009,Ecchi
Boku wa Robot-goshi no Kimi ni Koi wo Suru,Special,Novel,1,Finished Airing,PG-13 - Teens 13 or older,,Kawade Shobo Shinsha,A-1 Pictures,1,2017,Sci-Fi
Sukitte Ii na yo.,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,Sukitte Ii na yo. is licensed by Sentai Filmworks for release in North America. The anime adaptation was followed by a live action film adaptation that premiered in 2014 and earned over &yen;1 billion (around 10 million USD) at the Japanese box office.,Starchild Records,Zexcs,24,2012,Drama
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai,Studio Pierrot,97,2005,Adventure
Atama Yama,Movie,Other,1,Finished Airing,PG - Children,"The film won the 2003 Annecy International Animated Film Festival Grand Prix (Le Cristal d&#039;Annecy) for Best Short Film. This animated film is a modern interpretation of the traditional Japanese Rakugo story ""Atama-yama"" set in contemporary Tokyo.",Yamamura Animation,Studio Deen,10,2002,Comedy
Kimi no Na wa.,Movie,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Kadokawa Shoten,CoMix Wave Films,106,2016,Supernatural
Tetsuwan Atom (1980),TV,Manga,52,Finished Airing,G - All Ages,,Nippon Television Network,Tezuka Productions,24,1980,Action
Kacchikenee!,Movie,Original,1,Finished Airing,None,Kacchikenee! is one of four Anime Tamago 2016 young animator training projects.,,Tezuka Productions,24,2016,Supernatural
Kamiwaza Wanda,TV,Original,47,Finished Airing,PG - Children,,TBS,TMS Entertainment,24,2016,Sci-Fi
Wakaba*Girl,TV,4-koma manga,13,Finished Airing,PG-13 - Teens 13 or older,,Showgate,Nexus,7,2015,Comedy
Kamisama no Inai Nichiyoubi: Kioku,Special,Light novel,1,Finished Airing,R - 17+ (violence & profanity),"The OVA was scheduled for January 2014, but was delayed to February and was included on the fifth Blu-ray of the anime release.",,Madhouse,23,2014,Mystery
KO Seiki Beast Sanjuushi,OVA,Original,7,Finished Airing,PG-13 - Teens 13 or older,,Movic,Gainax,29,1992,Adventure
Tenchi Muyou! Ryououki,OVA,Original,6,Finished Airing,R+ - Mild Nudity,,Pioneer LDC,AIC,29,1992,Action
Kakumeiki Valvrave 2nd Season,TV,Original,12,Finished Airing,R - 17+ (violence & profanity),,Aniplex,Sunrise,24,2013,Action
Kuma no Minakuro to Kouhei Jiisan,OVA,Book,1,Finished Airing,G - All Ages,,,Mushi Production,23,1999,Drama
Double-J,TV,Manga,11,Finished Airing,PG-13 - Teens 13 or older,,,DLE,4,2011,Comedy
Mahou no Star Magical Emi,TV,Original,38,Finished Airing,G - All Ages,,,Studio Pierrot,23,1985,Comedy
Puchimas!: Petit iDOLM@STER,ONA,4-koma manga,64,Finished Airing,PG-13 - Teens 13 or older,,,Gathering,2,2013,Comedy
Neon Genesis Evangelion: Death & Rebirth,Movie,Original,1,Finished Airing,R - 17+ (violence & profanity),Death and Rebirth is a highly condensed re-edit of the series (Death) plus the first half of The End of Evangelion (Rebirth).,Movic,"Gainax, Production I.G",101,1997,Drama
Detective Conan Movie 05: Countdown to Heaven,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,TMS Entertainment,100,2001,Adventure
Gowapper 5 Gordam,TV,Original,36,Finished Airing,PG-13 - Teens 13 or older,"Gowapper was the first super robot anime to feature a female as the leader and main character. The concept of a group of young adults gathering to fight evil can be seen in other Tatsunoko works such as Science Ninja Team Gatchaman and in manga written by Tatsuo Yoshida and Ippei Kuri, but as of 2008, the only other Tatsunoko production featuring a female lead is Time Bokan 2000: Kaitou Kiramekiman. Gowappa 5 Gordam has a bright theme song and light-hearted situations, but the story also includes more serious parts, and there are episodes that end on a rather bitter note.(Source: Wikipedia)",,Tatsunoko Production,25,1976,Action
Kaiketsu Jouki Tanteidan,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Studio Tron,Xebec,24,1998,Action
.hack//G.U. Returner,OVA,Game,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Bee Train,24,2007,Magic
Mazinger Z,TV,Manga,92,Finished Airing,PG-13 - Teens 13 or older,,Dynamic Planning,Toei Animation,25,1972,Action
Genius Party Beyond,Movie,Original,5,Finished Airing,R - 17+ (violence & profanity),,Beyond C.,Studio 4ÁC,15,2008,Sci-Fi
Hime-chan no Ribbon,TV,Manga,61,Finished Airing,PG - Children,,Nihon Ad Systems,Studio Gallop,23,1992,Comedy
Soul Eater: Late Night Show,Special,Manga,51,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Bones,1,2018,Action
Deimos no Hanayome: Ran no Kumikyoku,OVA,Manga,1,Finished Airing,R - 17+ (violence & profanity),,Toei Video,Madhouse,32,1988,Mystery
Major 2nd (TV),TV,Manga,0,Currently Airing,PG-13 - Teens 13 or older,,NHK,NHK Enterprises,24,2018,Comedy
True Tears,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,"While technically based on a visual novel with the same name, True Tears has an almost entirely anime-original story. The anime is set in Jouhana, Toyama (where P.A. Works Studio is located) and locations from throughout Toyama Prefecture are used as models for the anime.",Bandai Visual,P.A. Works,24,2008,Drama
Kimi no Na wo Yobeba,OVA,Manga,2,Finished Airing,Rx - Hentai,,,Suzuki Mirano,27,2008,Hentai
Imakara Atashi......,OVA,Manga,2,Finished Airing,Rx - Hentai,,Mary Jane,BreakBottle,19,2016,Hentai
Arcana Famiglia: Capriccio - stile Arcana Famiglia,OVA,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,Frontier Works,J.C.Staff,23,2013,Romance
Cross Game,TV,Manga,50,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,SynergySP,23,2009,Comedy
Eyeshield 21: Jump Festa 2005 Special,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Studio Gallop,11,2005,Action
Ninja Senshi Tobikage,TV,Original,43,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,24,1985,Adventure
Rurouni Kenshin Special,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,SME Visual Works,Studio Deen,25,1998,Action
Crayon Shin-chan Movie 26: Bakumori! Kung Fu Boys - Ramen Tairan,Movie,Manga,1,Finished Airing,G - All Ages,,TV Asahi,Shin-Ei Animation,105,2018,Comedy
"Slime Boukenki: Umi da, Yeah!",Special,Game,1,Finished Airing,G - All Ages,,Shueisha,Production I.G,15,1999,Action
Di Gi Charat,TV,Original,16,Finished Airing,G - All Ages,,Broccoli,Madhouse,4,1999,Comedy
Dororon Enma-kun Meeramera,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),,Mainichi Broadcasting System,Brain&#039;s Base,24,2011,Action
Kaze wo Mita Shounen,Movie,Book,1,Finished Airing,PG - Children,,,Brain&#039;s Base,97,2000,Adventure
Suzumiya Haruhi no Shoushitsu,Movie,Light novel,1,Finished Airing,PG-13 - Teens 13 or older,The film won the Best Theatrical Film award at the 2010 Animation Kobe Awards.,Kadokawa Shoten,Kyoto Animation,162,2010,Comedy
Tales of Symphonia The Animation: Sylvarant-hen,OVA,Game,4,Finished Airing,PG-13 - Teens 13 or older,,Geneon Universal Entertainment,ufotable,32,2007,Action
Fushigi na Koala Blinky,TV,Original,26,Finished Airing,G - All Ages,,Fuji TV,Nippon Animation,25,1984,Adventure
Brave Story,Movie,Novel,1,Finished Airing,G - All Ages,,,Gonzo,112,2006,Action
Tezuka Osamu no Buddha: Owarinaki Tabi,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,Tezuka Productions,Toei Animation,85,2014,Historical
Kanon,TV,Visual novel,13,Finished Airing,G - All Ages,,Movic,Toei Animation,24,2002,Drama
Sarusuberi: Miss Hokusai,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,"The film won the Jury Award at the 39th Annecy International Animated Film Festival. At the Fantasia International Film Festival it won three awards: The S&eacute;quences Award for best Asian feature film, the Satoshi Kon Award for best animated feature film for excellence in animation, and the Gold Audience Award for best animated feature film. At the 19th Fantasia International Film Festival, it won the Gold Audience Award for best animated feature film, the Satoshi Kon Award for best animated feature film, and the Sequences Award for best Asian feature film. It also won the 2015 Asia Pacific Screen Award for Best Animated Feature Film.",Sunrise,Production I.G,90,2015,Historical
Higurashi no Naku Koro ni Kira,OVA,Original,4,Finished Airing,R - 17+ (violence & profanity),,Frontier Works,Studio Deen,29,2011,Mystery
Magikano,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Tokyo Kids,24,2005,Comedy
Tatakau Shisho: The Book of Bantorra,TV,Light novel,27,Finished Airing,R - 17+ (violence & profanity),,Geneon Universal Entertainment,David Production,24,2009,Action
Naruto: Shippuuden Movie 2 - Kizuna,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Studio Pierrot,92,2008,Action
Majo no Takkyuubin,Movie,Novel,1,Finished Airing,G - All Ages,The film won the 1989 Animage&#039;s Anime Grand Prix Award.,,"Studio Ghibli, Studio Hibari",105,1989,Adventure
Saiyuuki Reload,TV,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,20,2003,Action
Memories,Movie,Manga,3,Finished Airing,PG-13 - Teens 13 or older,Winner of the 1995 Oofuji Noburou Award at the Mainichi Film Awards.,Bandai Visual,"Madhouse, Studio 4ÁC",37,1995,Sci-Fi
Dragon Ball: Episode of Bardock,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,19,2011,Action
D.C.II: Da Capo II,TV,Visual novel,13,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,feel.,25,2007,Drama
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,,Sunrise,96,2012,Action
Ginga e Kickoff!!,TV,Novel,39,Finished Airing,PG - Children,,NHK,TYO Animations,25,2012,Sports
Historical,ONA,Original,1,Finished Airing,PG-13 - Teens 13 or older,,,Rabbit Machine,12,2016,Adventure
Shouwa Genroku Rakugo Shinjuu,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,Shouwa Genroku Rakugo Shinjuu covers the first five volumes of the manga. The original voice cast of the OVA reprised their roles for the animated TV series.,Starchild Records,Studio Deen,26,2016,Drama
Hachimitsu to Clover,TV,Manga,24,Finished Airing,PG-13 - Teens 13 or older,Hachimitsu to Clover was the first anime to air on Fuji Television&#039;s noitaminA block.,Genco,J.C.Staff,23,2005,Comedy
Mirai Shounen Conan,TV,Novel,26,Finished Airing,PG-13 - Teens 13 or older,,,Nippon Animation,29,1978,Adventure
Moonrakers,ONA,Manga,1,Finished Airing,R - 17+ (violence & profanity),,,Studio Pierrot,2,2014,Drama
Uta Kata Special,Special,Original,1,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Hal Film Maker,24,2005,Drama
Chain Chronicle: Haecceitas no Hikari,TV,Game,12,Finished Airing,PG-13 - Teens 13 or older,Chain Chronicle: Haecceitas no Hikari is a TV anime adaptation of the mobile game Chain Chronicle.,Bandai Visual,"Telecom Animation Film, Graphinica",24,2017,Action
Bari Bari Densetsu,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,50,1986,Action
Mama wa Shougaku 4 Nensei,TV,Original,51,Finished Airing,PG - Children,,,Sunrise,24,1992,Comedy
Yu_Gi_Oh! Arc-V,TV,Manga,148,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Studio Gallop,24,2014,Action
Rean no Tsubasa,ONA,Novel,6,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,24,2005,Fantasy
"Kokoro ga Sakebitagatterunda. x Sony Hi-Res ""Walkman"" and Headphone",Special,Original,1,Finished Airing,G - All Ages,The special premiered at Anime Japan 2016 and was later made available online.,Aniplex,A-1 Pictures,0.5,2016,Drama
Masamune-kun no Revenge,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Sotsu,Silver Link.,24,2017,Harem
Shakotan_Boogie,OVA,Manga,4,Finished Airing,PG-13 - Teens 13 or older,,Pony Canyon,Studio Pierrot,55,1991,Action
Hayate no Gotoku! Can&#039;t Take My Eyes Off You,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,Manglobe,24,2012,Comedy
Bakuten Shoot Beyblade 2002,TV,Manga,51,Finished Airing,PG - Children,,d-rights,Nippon Animation,21,2002,Action
Potecco Babies,ONA,Original,2,Finished Airing,G - All Ages,,,Shin-Ei Animation,3,2010,Comedy
Souten no Ken Re:Genesis,TV,Manga,0,Currently Airing,R - 17+ (violence & profanity),,,Polygon Pictures,22,2018,Action
Uchuu Senkan Yamato,TV,Original,26,Finished Airing,PG-13 - Teens 13 or older,,Tohokushinsha Film Corporation,Group TAC,25,1974,Action
Shinryaku!! Ika Musume,OVA,Manga,3,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Diomedea,24,2012,Slice of Life
I My Me! Strawberry Eggs,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,Pioneer LDC,TNK,25,2001,Comedy
Date A Live,TV,Light novel,12,Finished Airing,R - 17+ (violence & profanity),"Date A Live adapts the first 4 novels of Koushi Tachibana&#039;s light novel series of the same name.The anime premiered on March 31, 2013 on Niconico. On TV, it premiered on April 6, 2013 on Tokyo MX. The Blu-ray Box features an additional 35 minutes worth of content. Due to the Blu-ray Box being released after FUNimation Entertainment&#039;s release, this additional material was not included in any English release.",Kadokawa Shoten,AIC Plus+,23,2013,Comedy
Bomberman Jetters,TV,Game,52,Finished Airing,G - All Ages,,,Studio Deen,23,2002,Action
Kappa no Kaikata,TV,Manga,26,Finished Airing,PG - Children,,Nihon Ad Systems,Picture Magic,3,2004,Comedy
Sennen Joyuu,Movie,Original,1,Finished Airing,PG-13 - Teens 13 or older,"The film won the awards of Best Animation Film and Fantasia Ground-Breaker at the 2001 Fantasia Film Festival. It was also awarded the Feature Film Award at the 8th Animation Kobe. In 2002, it won the prestigious Ofuji Noburo Award at the Mainichi Film Awards, and was honored with the Orient Express Award at the 2001 Festival de Cine de Sitges in Spain. The film was nominated for four Annie Awards in 2004, including Outstanding Direction and Writing.",Bandai Visual,Madhouse,87,2002,Action
Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,ONA,Original,7,Finished Airing,PG-13 - Teens 13 or older,,Half H.P Studio,AIC,15,2008,Romance
Hi no Tori,TV,Manga,13,Finished Airing,G - All Ages,,NHK,Tezuka Productions,25,2004,Adventure
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: The Final - Ryoutsu Kakichi Saigo no Hi,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Studio Gallop,48,2016,Slice of Life
Pokemon,TV,Game,276,Finished Airing,PG - Children,,TV Tokyo,OLM,24,1997,Action
Genshiken Nidaime,TV,Manga,13,Finished Airing,R - 17+ (violence & profanity),,Starchild Records,Production I.G,24,2013,Slice of Life
Baka to Test to Shoukanjuu,TV,Light novel,13,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Silver Link.,24,2010,Comedy
Handa-kun,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Square Enix,Diomedea,24,2016,Slice of Life
Growlanser IV: Wayfarer of the Time,OVA,Visual novel,1,Finished Airing,PG-13 - Teens 13 or older,,Atlus,"feel., Zexcs",30,2005,Action
Vandread,TV,Original,13,Finished Airing,PG-13 - Teens 13 or older,,GDH,Gonzo,22,2000,Action
Heppoko Jikken Animation Excel_Saga,TV,Manga,26,Finished Airing,R - 17+ (violence & profanity),,Victor Entertainment,J.C.Staff,24,1999,Comedy
Osomatsu-san: Ouma de Kobanashi,Special,Manga,1,Finished Airing,R - 17+ (violence & profanity),,Avex Pictures,Studio Pierrot,24,2016,Comedy
Overlord: Ple Ple Pleiades Theatrical Version,Special,Light novel,2,Finished Airing,PG-13 - Teens 13 or older,,,Madhouse,13,2017,Action
Nuki Doki! Tenshi to Akuma no Sakusei Battle,OVA,Visual novel,2,Finished Airing,Rx - Hentai,,,PoRO,29,2013,Hentai
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Movie,Manga,1,Finished Airing,R - 17+ (violence & profanity),,Fuji TV,Studio Gallop,91,1997,Samurai
Gin no Guardian,TV,Web manga,12,Finished Airing,PG-13 - Teens 13 or older,,Emon,Haoliners Animation League,13,2017,Adventure
Isshuukan Friends. Specials,Special,4-koma manga,12,Finished Airing,PG-13 - Teens 13 or older,,Sentai Filmworks,Brain&#039;s Base,1,2014,Slice of Life
Kemono no Souja Erin Recap,TV,Novel,10,Finished Airing,G - All Ages,,,Production I.G,20,2010,Adventure
Sakurada Reset,TV,Light novel,24,Finished Airing,PG-13 - Teens 13 or older,"Sakurada Reset is a complete adaptation of Yutaka Kouno&#039;s light novel series of the same title, though the first half of the series is told in a different order than that of the novels.",Media Factory,David Production,25,2017,Mystery
Koitabi: True Tours Nanto,Special,Original,6,Finished Airing,PG-13 - Teens 13 or older,,,P.A. Works,7,2013,Romance
Clock,Special,Original,1,Finished Airing,G - All Ages,,,RG Animation Studios,1,1999,Dementia
Robby to Kerobby,TV,Original,52,Finished Airing,G - All Ages,,Aniplex,A-1 Pictures,10,2007,Kids
Tokyo Ghoul,TV,Manga,12,Finished Airing,R - 17+ (violence & profanity),,Marvelous AQL,Studio Pierrot,24,2014,Action
Coyote Ragtime Show,TV,Original,12,Finished Airing,PG-13 - Teens 13 or older,,,ufotable,24,2006,Action
Nichijou: Original Jikai Yokoku,Special,Manga,25,Finished Airing,PG-13 - Teens 13 or older,,,Kyoto Animation,0.5,2011,Slice of Life
Sword Art Online Alternative: Gun Gale Online,TV,Light novel,12,Currently Airing,PG-13 - Teens 13 or older,,,Studio 3Hz,23,2018,Action
Kidou Keisatsu Patlabor 2 the Movie,Movie,Original,1,Finished Airing,PG-13 - Teens 13 or older,The film won the 1993 Mainichi Film Award for animation.,Bandai Visual,"Production I.G, Production Reed",108,1993,Sci-Fi
Shin Tennis no Ouji-sama,TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,,TV Tokyo,"Production I.G, M.S.C",23,2012,Action
"Wake Up, Girl Zoo!",ONA,Original,10,Finished Airing,G - All Ages,,,"Ordet, Studio Moriken",3,2014,Comedy
Red Garden,TV,Original,22,Finished Airing,R - 17+ (violence & profanity),,GDH,Gonzo,23,2006,Drama
Arad Senki: Slap Up Party,TV,Game,26,Finished Airing,PG-13 - Teens 13 or older,,Studio Mausu,Gonzo,25,2009,Action
GintamaÁ,TV,Manga,51,Finished Airing,R - 17+ (violence & profanity),This is a fourth season of Gintama. In the episode continuity corresponds to episodes 266-316 of Gintama.,TV Tokyo,Bandai Namco Pictures,24,2015,Action
Precure All Stars Movie New Stage 3: Eien no Tomodachi,Movie,Original,1,Finished Airing,G - All Ages,,Kinoshita Group Holdings,Toei Animation,71,2014,Kids
Patapata Hikousen no Bouken,TV,Novel,26,Finished Airing,PG-13 - Teens 13 or older,,TMS Entertainment,Telecom Animation Film,24,2002,Adventure
King of Fighters: Another Day,ONA,Game,4,Finished Airing,PG-13 - Teens 13 or older,,,Production I.G,10,2005,Adventure
Ouritsu Uchuugun: Honneamise no Tsubasa,Movie,Original,1,Finished Airing,R+ - Mild Nudity,,,Gainax,121,1987,Action
1000-nen Joou: Queen Millennia,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,121,1982,Adventure
Hakuouki Hekketsuroku Episode 0,Special,Visual novel,1,Finished Airing,R - 17+ (violence & profanity),,,Studio Deen,24,2010,Action
Yuu_Yuu_Hakusho: Eizou Hakusho,OVA,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,,Studio Pierrot,26,1994,Action
Aho Girl,TV,4-koma manga,12,Finished Airing,PG-13 - Teens 13 or older,,Nihon Ad Systems,Diomedea,12,2017,Comedy
Hoshi wo Katta Hi,Movie,Original,1,Finished Airing,G - All Ages,,,Studio Ghibli,16,2006,Sci-Fi
Chain Chronicle: Haecceitas no Hikari Part 2,Movie,Game,1,Finished Airing,PG-13 - Teens 13 or older,,Pazzy Entertainment,"Telecom Animation Film, Graphinica",89,2017,Action
Mobile Suit Gundam Wing: Endless Waltz,OVA,Original,3,Finished Airing,PG-13 - Teens 13 or older,,Bandai Visual,Sunrise,30,1997,Action
Bakukyuu Renpatsu! Super B-Daman Specials,Special,Manga,2,Finished Airing,G - All Ages,,,Xebec,40,1999,Adventure
Hakumei to Mikochi,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,Lantis,Lerche,23,2018,Slice of Life
YAT Anshin! Uchuu Ryokou,TV,Original,50,Finished Airing,PG-13 - Teens 13 or older,,NHK,"Xebec, Group TAC",25,1996,Adventure
Yama no Susume: Second Season Specials,Special,Manga,2,Finished Airing,PG-13 - Teens 13 or older,,Earth Star Entertainment,8bit,15,2014,Slice of Life
Digimon Adventure 3D: Digimon Grand Prix!,Movie,Original,1,Finished Airing,PG - Children,"Digimon Adventure 3D: Digimon Grand Prix! was screened at Sanrio Puroland&#039;s Yume no Time Machine attraction between July 20, 2000, and June 23, 2002. It was later screened at Tobidasu! 3D Toei Anime Matsuri on October 3, 2009.",,Toei Animation,7,2000,Action
Usakame,TV,Manga,12,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Millepensee,3,2016,Comedy
Pokemon: Pikachu no Fuyuyasumi,OVA,Game,2,Finished Airing,PG - Children,,,OLM,9,1998,Adventure
Spider Riders: Oracle no Yuusha-tachi,TV,Novel,26,Finished Airing,PG - Children,,TV Tokyo,"Bee Train, Cookie Jar Entertainment",23,2006,Action
To Be Heroine,TV,Original,0,Currently Airing,PG-13 - Teens 13 or older,,,"Haoliners Animation League, Studio LAN",15,2018,Comedy
Peace Hame!,OVA,Manga,6,Finished Airing,Rx - Hentai,,Queen Bee,Studio 9 MAiami,20,2012,Hentai
Rose O&#039;Neill Kewpie,TV,Other,26,Finished Airing,G - All Ages,,,TMS Entertainment,5,2009,Comedy
Girls Bravo: First Season,TV,Manga,11,Finished Airing,R+ - Mild Nudity,,Lantis,AIC Spirits,23,2004,Comedy
Ohayou! Kokekkou-san,TV,Original,50,Finished Airing,G - All Ages,,,"TMS Entertainment, TOCSIS",3,2016,Comedy
Gantz:O,Movie,Manga,1,Finished Airing,R+ - Mild Nudity,,Dentsu,Digital Frontier,96,2016,Action
Guru Guru Town Hanamaru-kun,TV,Original,101,Finished Airing,G - All Ages,,,Studio Pierrot,25,1999,Kids
Getsuyoubi no Tawawa Specials,Special,Other,2,Finished Airing,PG-13 - Teens 13 or older,,NBCUniversal Entertainment Japan,Pine Jam,4,2016,Slice of Life
Kurenai no Buta,Movie,Manga,1,Finished Airing,G - All Ages,The film won the 1992 Mainichi Film Award for animation.,Tokuma Shoten,Studio Ghibli,93,1992,Action
3-gatsu no Lion 2nd Season,TV,Manga,22,Finished Airing,PG-13 - Teens 13 or older,,Aniplex,Shaft,25,2017,Drama
Samurai Flamenco,TV,Original,22,Finished Airing,R - 17+ (violence & profanity),Samurai Flamenco first aired on the noitaminA programming block which was then simulcast by Crunchyroll.A mobile phone game adaptation is also available for both iPhone and Android.,Aniplex,Manglobe,23,2013,Action
Digimon Frontier,TV,Original,50,Finished Airing,PG - Children,,Yomiko Advertising,Toei Animation,23,2002,Action
Red Garden: Dead Girls,OVA,Original,1,Finished Airing,R - 17+ (violence & profanity),,GDH,Gonzo,44,2007,Mecha
Momotarou Densetsu,TV,Game,51,Finished Airing,G - All Ages,,TV Tokyo,Knack Productions,22,1989,Adventure
Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu,Special,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,Toei Animation,44,1997,Action
Brothers Conflict,TV,Novel,12,Finished Airing,PG-13 - Teens 13 or older,Idea Factory released two games based on the franchise for the Sony PlayStation Portable. A compilation of short stories that were first featured in Dengeki Girl&rsquo;s Style and Sylph was also released.,Kadokawa Shoten,Brain&#039;s Base,24,2013,Harem
Magi: Sinbad no Bouken (TV),TV,Manga,13,Finished Airing,PG-13 - Teens 13 or older,Episodes 2 through 6 of the television series are renamed versions of the OVAs. Episodes 1 and 7 through 13 will be new animation not featured in the previous OVAs.,Aniplex,Lay-duce,24,2016,Action
Otome wa Boku ni Koishiteru,TV,Visual novel,12,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,feel.,24,2006,Comedy
Vampire Hunter D,Movie,Novel,1,Finished Airing,R+ - Mild Nudity,,Ajia-Do,Production Reed,80,1985,Action
Mononoke,TV,Original,12,Finished Airing,R - 17+ (violence & profanity),"The main protagonist of the series, Kusuriuri, was first introduced in ""Bakeneko,"" the final chapter of the Ayakashi: Japanese Classic Horror anthology series. Mononoke was originally broadcast during the NoitaminA programming block in Japan.",Fuji TV,Toei Animation,22,2007,Mystery
Danchigai Special,Special,4-koma manga,1,Finished Airing,PG-13 - Teens 13 or older,,DAX Production,Creators in Pack,3,2015,Slice of Life
Bishoujo Senshi Sailor Moon S: Kaguya Hime no Koibito,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,"Toei Animation, Production Reed",61,1994,Adventure
Tonari no Seki-kun,TV,Manga,21,Finished Airing,G - All Ages,"The first 13 episodes of Tonari no Seki-kun aired on TV (TV Tokyo), but the final 7 episodes were streamed online on http://t-sekikun.jp/onair/ on April 7. Starting May 2 and over the course of 7 weeks, the same 7 episodes aired on TV (AT-X).The series adapts content from the first 3 volumes of Takuma Morishige&#039;s manga series of the same title.",Starchild Records,Shin-Ei Animation,7,2014,Comedy
Natsu e no Tobira,Movie,Manga,1,Finished Airing,PG-13 - Teens 13 or older,,,"Madhouse, Toei Animation",59,1981,Drama
Hyakka Ryouran: Samurai Girls Specials,Special,Light novel,6,Finished Airing,R+ - Mild Nudity,,Hobby Japan,Arms,3,2010,Ecchi
Mahoraba: Heartful days,TV,Manga,26,Finished Airing,PG-13 - Teens 13 or older,,Starchild Records,J.C.Staff,23,2005,Comedy
Mitsubachi Maya no Bouken,TV,Book,52,Finished Airing,G - All Ages,"The series was based on the German children&rsquo;s book Maya the Bee, originally published in 1912. Mitsubachi Maya no Bouken was notably in English twice, once for British with British voice actors and again for the United States with Canadian voice actors.",,Nippon Animation,25,1975,Adventure
